# 
3700,2.65561915985138e-40,3.67012967412919e-40,4.90396634893449e-40,6.3903845958977e-40
3800,9.56090499353483e-40,1.31128390036548e-39,1.74126821971532e-39,2.2570944187647e-39
3900,3.2222888137975e-39,4.38739054740807e-39,5.79161627907227e-39,7.46942235058356e-39
4000,1.0216847715565e-38,1.38150754896345e-38,1.81336333614434e-38,2.32738125157444e-38
4100,3.06126317381936e-38,4.11217338311868e-38,5.36842884983808e-38,6.85822658758641e-38
4200,8.70311286352432e-38,1.16174315320862e-37,1.50879236896212e-37,1.91892131438724e-37
4300,2.35631776337836e-37,3.12648078953958e-37,4.04028355923993e-37,5.11656897615326e-37
4400,6.09576597883085e-37,8.04174495844118e-37,1.03426196857872e-36,1.3043933560336e-36
4500,1.51139762315732e-36,1.98292952580113e-36,2.53859798325378e-36,3.18897104750071e-36
4600,3.60156296569752e-36,4.70030305515927e-36,5.99095817889092e-36,7.49713466393578e-36
4700,8.26928841556458e-36,1.07374941637359e-35,1.36279356310826e-35,1.69914987134292e-35
4800,1.83366953032376e-35,2.3694297734066e-35,2.99499766769756e-35,3.72098243344007e-35
4900,3.93530211626727e-35,5.06141156657085e-35,6.37257286467368e-35,7.89022415776359e-35
5000,8.19017261030417e-35,1.0486618530029e-34,1.31531749007921e-34,1.62319082631613e-34
5100,1.65597121185271e-34,2.11114299684029e-34,2.63829235819104e-34,3.24544890905568e-34
5200,3.25824255848879e-34,4.13656874157202e-34,5.15122809026248e-34,6.31715418842102e-34
5300,6.24821812910079e-34,7.90079317423295e-34,9.80525231723483e-34,1.1988697151441e-33
5400,1.16947923387532e-33,1.47308186811021e-33,1.82214167849313e-33,2.22146471343367e-33
5500,2.13928450065864e-33,2.68461291050915e-33,3.31017739622806e-33,4.02431670952358e-33
5600,3.8292980943692e-33,4.7881408068992e-33,5.88566708053179e-33,7.13604954394299e-33
5700,6.71493323430427e-33,8.36714020097912e-33,1.02543396626337e-32,1.24001536101202e-32
5800,1.15477943893892e-32,1.43407658498158e-32,1.75244959585528e-32,2.11376344150546e-32
5900,1.94949752697899e-32,2.41313606536507e-32,2.9406023990289e-32,3.53811030269035e-32
