# 
1800,8.9382882265292e-64,8.93837210802519e-64,8.93977997338651e-64,8.9648471376348e-64,9.42067427477498e-64,2.18481721620286e-63,4.72368055619756e-62,1.56340326895812e-55
1900,1.79786222931737e-61,1.79787911297907e-61,1.79816248803133e-61,1.8032080084794e-61,1.89495794331628e-61,4.39658071732729e-61,9.48670863873238e-60,3.15254586522849e-53
2000,2.12616189545597e-59,2.12618187503874e-59,2.12651721197972e-59,2.13248792234542e-59,2.24106299520218e-59,5.20158271391319e-59,1.11974889850985e-57,3.73405920170673e-51
2100,1.5952303560831e-57,1.59524535568869e-57,1.59549710879373e-57,1.59997960214663e-57,1.68149271666652e-57,3.90405450932759e-57,8.36922170642906e-56,2.79817923194665e-49
2200,8.08114696827317e-56,8.08122299826967e-56,8.08249908436934e-56,8.10521995539918e-56,8.51839675996332e-56,1.97830097776423e-55,4.21478646004649e-54,1.41160151112835e-47
2300,2.9098699773096e-54,2.90989736977114e-54,2.91035712436339e-54,2.91854311469448e-54,3.06740542847277e-54,7.1251588718088e-54,1.50563465576816e-52,5.0469774557062e-46
2400,7.77366980950954e-53,7.77374302778782e-53,7.77497192210465e-53,7.79685255154054e-53,8.19475391490827e-53,1.90381321018611e-52,3.98214866232149e-51,1.33487794583877e-44
2500,1.59716502838274e-51,1.59718007953766e-51,1.5974326978657e-51,1.60193060236587e-51,1.68372573391737e-51,3.91202710336088e-51,8.0832811816986e-50,2.70747536050885e-43
2600,2.60168873173241e-50,2.60171326149437e-50,2.60212496860476e-50,2.60945547235046e-50,2.74276225266106e-50,6.372947806015e-50,1.29841301039637e-48,4.34212059491932e-42
2700,3.44818825085489e-49,3.44822077752266e-49,3.4487667045676e-49,3.45848701476107e-49,3.63525329479024e-49,8.44683357195207e-49,1.69459599659265e-47,5.6544026971163e-41
2800,3.80183937808502e-48,3.80187525759153e-48,3.80247745863062e-48,3.81319973653527e-48,4.00818731840039e-48,9.3132476491478e-48,1.83740366928599e-46,6.11334109002878e-40
2900,3.55441171751828e-47,3.55444527726568e-47,3.55500854350958e-47,3.56503758238244e-47,3.74741856307917e-47,8.70697110551293e-47,1.68708180317014e-45,5.59347207302494e-39
3000,2.86487933098212e-46,2.86490639237798e-46,2.86536059039664e-46,2.87344765375146e-46,3.02051328100213e-46,7.01756156449116e-46,1.33370016531622e-44,4.40337858642983e-38
3100,2.01963057651236e-45,2.01964966201481e-45,2.01996999277085e-45,2.02567352968115e-45,2.12939399991934e-45,4.94676993599144e-45,9.2095092357616e-44,3.02586042938675e-37
3200,1.26107614578497e-44,1.2610880679692e-44,1.26128816971238e-44,1.26485101105399e-44,1.3296422661378e-44,3.0885246686028e-44,5.62536304944968e-43,1.83796770618221e-36
3300,7.05220431782215e-44,7.05227101653347e-44,7.0533904866003e-44,7.07332281727268e-44,7.43579735244202e-44,1.72697268286336e-43,3.07335580402394e-42,9.97816702681342e-36
3400,3.56668215061808e-43,3.56671589723864e-43,3.56728229995643e-43,3.57736718391137e-43,3.76076310280116e-43,8.73307787350007e-43,1.51658401715084e-41,4.88892107526601e-35
3500,1.64557101422731e-42,1.64558659005971e-42,1.64584801457046e-42,1.65050271622765e-42,1.73514937222519e-42,4.02859957882464e-42,6.81815773912522e-41,2.18051226603698e-34
3600,6.97889547001796e-42,6.97896155233786e-42,6.9800706768873e-42,6.99981879999546e-42,7.3589414878369e-42,1.70825108601285e-41,2.81410816907867e-40,8.92065447775857e-34
3700,2.73737229904641e-41,2.73739822818818e-41,2.73783342246861e-41,2.74558211881039e-41,2.88649303293889e-41,6.69917201903554e-41,1.07341868289e-39,3.37030215439825e-33
3800,9.98620433244795e-41,9.9862989562721e-41,9.98788712092856e-41,1.00161646170591e-40,1.05303928837912e-40,2.44349711595429e-40,3.81012930338916e-39,1.18457350067291e-32
3900,3.40729746366115e-40,3.40732975957933e-40,3.40787181371978e-40,3.4175231635568e-40,3.59303331975247e-40,8.33601814381926e-40,1.26771929190596e-38,3.90446707530249e-32
4000,1.09278401669087e-39,1.09279437769471e-39,1.0929682766059e-39,1.09606457089841e-39,1.15237071892568e-39,2.67320869099776e-39,3.97392152302124e-38,1.21315893811425e-31
4100,3.30931005840173e-39,3.30934144381336e-39,3.30986821602832e-39,3.31924746818124e-39,3.48980911042084e-39,8.09464914507585e-39,1.17895780673485e-37,3.56976972010279e-31
4200,9.50156766247862e-39,9.50165779924422e-39,9.5031706531778e-39,9.53010722649754e-39,1.00199483568562e-38,2.32396441818801e-38,3.32385110507563e-37,9.98964388790962e-31
4300,2.59608271790597e-38,2.59610735193778e-38,2.59652080910524e-38,2.60388247117041e-38,2.73775414366939e-38,6.34947085559429e-38,8.93848648690815e-37,2.66869280476103e-30
4400,6.77284935585822e-38,6.77291363839551e-38,6.77399255540519e-38,6.79320282239308e-38,7.14254118722758e-38,1.65647928918978e-37,2.30055114534716e-36,6.82944722114232e-30
4500,1.69234085655633e-37,1.69235692259461e-37,1.69262657470765e-37,1.69742776817842e-37,1.7847374317335e-37,4.1391245189546e-37,5.68432760259742e-36,1.67947559931605e-29
4600,4.06149187469066e-37,4.06153044037147e-37,4.06217772610272e-37,4.07370273949089e-37,4.28328519440985e-37,9.93396227353039e-37,1.35213720606419e-35,3.98017362482787e-29
4700,9.38595976572594e-37,9.38604890805339e-37,9.38754507136891e-37,9.41418447140686e-37,9.89862274595412e-37,2.29584127704585e-36,3.10431286920847e-35,9.11375080218772e-29
4800,2.093573446144e-36,2.09359333359179e-36,2.09392712418075e-36,2.09987031350262e-36,2.20794755303552e-36,5.12138515707715e-36,6.89486800242911e-35,2.02108001128974e-28
4900,4.51701684702739e-36,4.51705976350828e-36,4.51778007300402e-36,4.53060528831868e-36,4.76383300257911e-36,1.1050875693697e-35,1.48466673928882e-34,4.35004057430212e-28
5000,9.44564385506716e-36,9.44573361469532e-36,9.44724013879565e-36,9.47406402243082e-36,9.96185972212086e-36,2.3111215213994e-35,3.10046274833632e-34,9.08295632938237e-28
5100,1.9178839972046e-35,1.91790222541059e-35,1.91820816731888e-35,1.92365550854572e-35,2.02271624901608e-35,4.69299571109688e-35,6.27951190031136e-34,1.83821789666782e-27
5200,3.78754168652715e-35,3.78757769016461e-35,3.78818197462206e-35,3.79894135018011e-35,3.99460249711884e-35,9.26856254877024e-35,1.23554007602494e-33,3.61183410074599e-27
5300,7.28642900538676e-35,7.28649827878926e-35,7.28766096243802e-35,7.30836272068655e-35,7.68482820345684e-35,1.7831485902686e-34,2.36533453819318e-33,6.90059083163833e-27
5400,1.36748271612485e-34,1.36749571878147e-34,1.36771395515723e-34,1.37159968699552e-34,1.44226251650478e-34,3.34659603928835e-34,4.412173987771e-33,1.28375483259862e-26
